,meanHR,minHR,maxHR,sdHR,modeHR,nNN,meanNN,SDSD,CVNN,SDNN,pNN50,pNN20,RMSSD,medianNN,q20NN,q80NN,minNN,maxNN,triHRV,max_ecg,min_ecg,mean_ecg,sd_ecg,ku_ecg,sk_ecg,median_ecg,q1_ecg,q3_ecg,q05_ecg,q95_ecg,totalpower,LF,HF,ULF,VLF,VHF,LF/HF,rLF,rHF,peakLF,peakHF,SD1,SD2,SD1SD2,apEn,sampEn,max_eda,min_eda,mean_eda,sd_eda,ku_eda,sk_eda,median_eda,dynrange,scl_slope,max_scr,min_scr,mean_scr,sd_scr,max_scl,min_scl,mean_scl,sd_scl,nSCR,aucSCR,meanAmpSCR,maxAmpSCR,meanRespSCR,sumAmpSCR,sumRespSCR,meanRR,minRR,maxRR,sdRR,modeRR,nBB,meanBB,SDSDb,CVNNb,SDNNb,RMSSDb,medianBB,q20BB,q80BB,minBB,maxBB,meanTT,SDTT,medianTT,q20TT,q80TT,minTT,maxTT,meanBA,SDBA,medianBA,q20BA,q80BA,minBA,maxBA,meanBW,SDBW,medianBW,q20BW,q80BW,minBW,maxBW,max_rsp,min_rsp,mean_rsp,sd_rsp,ku_rsp,sk_rsp,median_rsp,q1_rsp,q3_rsp,q05_rsp,q95_rsp,totalpower_rsp,LF_rsp,HF_rsp,VLF_rsp,VHF_rsp,LF/HF_rsp,rLF_rsp,rHF_rsp,peakLF_rsp,peakHF_rsp,SD1_rrv,SD2_rrv,SD1SD2_rrv,apEn_rrv
2ea4_Baseline,63.43094010243964,57.034220532319395,79.57559681697613,4.686313858549307,22.541376284656735,62.0,950.6774193548387,42.03340067580802,64.84317911092297,0.06820734119774056,16.129032258064516,56.451612903225815,42.036674074111936,956.0,904.8,999.6000000000001,754.0,1052.0,2.6956521739130435,5.967484357884467,-1.729123448296835,-3.178453948232351e-05,0.685371860351204,28.42695718870665,4.448356444813569,-0.012330790395577787,-0.13076650145274366,0.07672180059146143,-0.8932437389258862,0.2745891604654357,369.94146909331295,115.9313702475074,245.57880740143844,0.0,0.0,8.431291444367124,0.4720740013123313,32.0686324798539,67.9313675201461,0.10619469026548672,0.17699115044247787,14.86105132709753,43.3713179118951,0.34264698521005077,0.011538896932473008,0.013869847864150502,1.8570381593474794,-1.5506393678668,0.0001073381197510874,0.9947376021404511,-1.2208272124432344,0.367673531378987,-0.32380694492312584,-1.19759513258211,-0.023885876528914215,0.8022754908029355,-0.6734062295557574,-0.010098759628731316,0.3015667151919695,1.4326109104625262,-1.1327427767080338,0.022667868372909832,0.8915394920897693,10.0,-302.9789335234454,0.6668993871672939,1.475681720358693,1.16,6.6689938716729396,11.6,12.375599144060121,8.39630562552477,19.342359767891683,3.391862317647311,10.946054142366913,10.0,5192.6,2310.027502374895,1285.8155544245062,0.24762461087403345,2331.0319126467957,5458.0,3929.2,6227.2,3102.0,7146.0,2605.4,471.9710160592491,2604.5,2231.8,3063.2,1781.0,3223.0,2.0076845374783434,0.5253353612690032,2.0640885593514624,1.4377152420943633,2.2682055360477795,1.156776904948287,2.8681199619761584,14607.5,8163.392469656005,14295.5,6591.4,22540.8,1073.0,28136.0,1.9670326714176982,-1.7422367553723443,-1.8947806286936004e-17,0.7203900978256182,-0.10035478492775596,0.4693671197859138,-0.050845753527889975,-0.5334604646775016,0.4185414821167569,-1.0054302252378369,1.3332353445047853,137199.6147648982,69459.1163412222,67738.09486991029,0.0,2.403553765730892,1.0254069954966565,50.62720716263811,49.3727928373619,0.13138686131386862,0.17518248175182483,816.7180558283558,333.26549309655337,2.4506529261093855,0.10536051565782678
2ea4_Breathing,61.712465313769954,45.87155963302752,84.26966292134831,11.008515087679642,38.39810328832079,59.666666666666664,1002.8938547486033,106.65948647350156,173.3165312891468,0.17281642565512806,177.6536312849162,249.72067039106145,106.65949179989204,1006.0,815.2,1190.8,712.0,1308.0,1.808080808080808,7.518169272690155,-1.9154641357695643,4.33193472036848e-06,0.7121880386082964,34.697022479738855,4.7608427158664,-0.003696039600721656,-0.12726722488496012,0.06659528459074719,-0.8385796387375684,0.3742056398011915,8181.896350770018,284.92046660931294,7787.661895988465,0.0,84.05505011661774,25.258938055622192,0.036586137201986065,3.529483550758407,96.4705164492416,0.140625,0.171875,37.7098230816439,116.71748441605945,0.3230863248150618,0.0018293692568209785,0.006495446516029555,2.792215834903117,-1.0200815142597264,-3.898045358760606e-07,0.997299991461477,-0.48405261790231346,0.8615507202132855,-0.34935930912741203,-2.7372477550771315,-0.015164300571360307,1.3220875502351956,-0.7294659855937073,0.0013326105770914243,0.276154583585165,1.9427894502485588,-0.9682295504547345,-0.006435154162016008,0.951185460540644,7.333333333333333,120.03833205832572,0.6516990485882671,1.7485239506136143,1.1260952380952378,4.7791263563139585,7.8826666666666645,11.569522362834988,6.207324643078833,19.14486279514997,3.719330534062082,12.937538152071136,10.0,5748.333333333333,3167.2157895086216,1838.5817057963152,0.31984604913823983,3168.855596757834,5364.0,3847.6000000000004,7513.6,3134.0,9666.0,3109.0,1303.7431296647926,2583.0,2347.0,3417.0000000000005,1620.0,6945.0,1.533044964216771,0.4928450449666144,1.4085423909482286,1.197281109101525,1.8394777391488168,0.9657655446202116,3.3630963218323995,47125.542372881355,24821.23101559551,49655.0,20419.800000000003,71396.40000000001,2349.0,88574.0,2.589583116663115,-1.8508102213044184,1.8316212744038138e-17,0.5908520390425573,1.3215950252997493,0.3117247344125811,-0.0018361034012525103,-0.3697578473311636,0.3377944229236325,-0.9746289714592127,0.9794219243460707,757608.0709594134,553957.469609188,203640.6055773636,0.0,9.995772861795102,2.7202701938476515,73.12023192149492,26.87976807850508,0.1171875,0.1640625,1119.7798811213256,647.5744150812139,1.7291910474580612,0.013790643148760218
2ea4_Counting1,70.64941895509719,58.25242718446602,82.87292817679558,5.75070274580905,24.62050099232956,69.0,855.1014492753624,43.67059774340667,72.0953766286919,0.08431207395308193,21.73913043478261,53.62318840579711,43.706238617818016,846.0,800.0,914.0,724.0,1030.0,4.3125,6.126628318688256,-1.6856709702868131,0.0006309508357629246,0.7082550392675374,25.42662920964303,4.218876980939776,-0.009156543274101273,-0.13015571779544255,0.06830180264648558,-0.928362815375523,0.2855288262616232,438.61436838039975,103.95662117209976,332.3321172855898,0.0,0.0,2.325629922710199,0.31280943298888136,23.82748212562018,76.17251787437982,0.14285714285714285,0.21428571428571427,15.439887901416396,47.67957314722658,0.323826051331051,0.0008973165689458718,0.024044874254002917,0.8016496712992401,-2.7008882533846075,-4.4336557628988277e-05,0.9969355194662743,0.1385088357045201,-1.0868295102650547,0.5620288340855144,-0.29680964041909397,0.009207920422107952,0.839966698184646,-0.7671140688268784,-0.006696876672360198,0.2654741622900668,0.9151029401357239,-2.4841730760024605,-0.013029262828998116,0.8592374324712169,8.0,-200.8084440447176,0.6448804048672694,1.6070807670115244,1.6254285714285714,5.159043238938155,11.378,12.805508940733443,7.425742574257426,19.392372333548803,3.695796144775715,11.966629759291376,10.0,5088.6,1584.3173082856015,1455.7052036727764,0.28607184759516885,1678.385335175845,5057.0,3510.8,6031.6,3094.0,8080.0,2594.909090909091,796.4044717633296,2746.0,1837.0,3265.0,1536.0,3879.0,1.652941102364017,0.4615380771866321,1.6265704633843783,1.4196387782072484,1.9503765243906166,0.9262892613274544,2.6035106640704284,14020.869565217392,8582.92049365355,14520.0,5372.200000000001,22148.0,431.0,28975.0,1.857901512067799,-1.5784052559820172,3.031649005909761e-17,0.6235671646549537,0.14691526972449642,0.3931293868527726,-0.060914143021545616,-0.39325422899978013,0.37023345333976243,-0.8920609626624871,1.1370585785416765,69643.1559140791,45473.11207238807,24169.120062958707,0.0,0.9237787323302853,1.8814550117643543,65.2953110176207,34.7046889823793,0.08695652173913043,0.17391304347826086,560.1407561199834,681.5637883066149,0.8218464151560719,0.10536051565782678
2ea4_Counting2,63.91382841403336,52.91005291005291,79.7872340425532,5.890797863233994,26.877181132500283,63.0,946.4761904761905,58.622906455500164,84.20738894979166,0.08896936848186883,31.746031746031743,61.904761904761905,58.759213416198165,956.0,878.0,1016.4,752.0,1134.0,3.3157894736842106,6.5390506488362545,-1.839485792189429,0.00011341029919131192,0.7404165561207984,28.90873511622339,4.493784797270963,-0.006827796960511523,-0.11498539227577845,0.06427709287113931,-0.9623251719396221,0.2566609828860226,1049.9041089817379,318.5735229190182,709.5452078627408,0.0,0.0,21.78537819997884,0.44898269960642906,30.986063513966123,69.01393648603388,0.10619469026548672,0.3185840707964602,20.726327343774397,54.89971464455994,0.37753069351933666,0.007572205381682462,0.01874218180974064,1.3601116769067618,-1.7731419472065644,-1.0932850558432013e-05,0.9980423703993422,-1.418990788669059,0.20380325593411908,-0.19294519166548602,-0.7670630538347497,-0.033535924164140384,0.8286772150195253,-0.4961949485126803,-0.0026108995554724353,0.23105123589355822,1.4791368568415784,-1.4259343056908143,-0.0035941368839336064,0.9261542830414045,7.0,-78.15672626574829,0.4461417097469732,1.3225074481603052,1.3389999999999997,3.1229919682288125,8.033999999999999,11.315735837716238,8.417508417508417,17.006802721088434,2.4029793656708027,8.589294303580017,10.0,5517.6,1523.4828843034081,1041.519966203241,0.1887632242647602,1523.6291470622955,5513.0,4816.0,6399.6,3528.0,7128.0,2740.6,809.7312146632363,2583.5,2034.3999999999999,3362.2000000000003,1713.0,4432.0,2.077120346151102,0.5207229401369872,2.040094793336287,1.791889700394957,2.4490451049190454,1.2783662847630226,2.9540698664823557,14719.272727272728,8688.885126631705,13849.5,6803.0,23130.0,870.0,29371.0,2.025824763570869,-1.562412102590288,1.8947806286936004e-17,0.7672578042120519,-0.3946231054830438,0.4637767257309978,-0.0978966300475691,-0.5700066615225744,0.5195771831689152,-1.1207473746060281,1.410145291589384,59146.5391623706,55641.99973905576,3504.247398456433,0.0,0.2920248584032715,15.878445044595082,94.07528360961055,5.924716390389445,0.08219178082191782,0.16438356164383564,538.6325392562901,525.7769324685606,1.0244506862014113,0.10536051565782678
2ea4_Counting3,64.32135665007657,49.75124378109453,78.53403141361257,5.908396947059726,28.782787632518037,62.0,941.0322580645161,39.98588840033026,90.19244080726563,0.09584415415553389,24.193548387096776,62.903225806451616,40.2337432804935,919.0,876.4,1016.8,764.0,1206.0,2.9523809523809526,7.066157128578768,-1.8372043019331026,-0.0001802293397719651,0.7374990431955827,28.73379922441939,4.484443484042083,-0.009706458846524027,-0.12313466023236821,0.07056496997033845,-0.9625711116011666,0.24963924845182844,733.1262906203499,515.92858527777,210.15958204414807,0.0,0.0,7.038123298431839,2.454937244638169,71.05591421227888,28.944085787721125,0.14414414414414414,0.18018018018018017,14.137146419821018,60.67241463251174,0.23300780932238568,0.006860101186936696,0.016620881236040407,2.1477954334252707,-2.3866360428135365,-0.0002395079713052534,0.9906442702217737,-0.8167951830044622,-0.10826252467621719,0.08363687952519268,-0.8999258348974302,-0.00999093662407269,1.4542911429813339,-0.8932875775575397,0.00396824437648168,0.39735943344369423,0.9650597436194233,-1.9874496549378167,0.00983813777528958,0.8452696968044842,14.0,119.24770532844079,0.8097932105969412,1.8155432262268336,1.1804615384615382,10.527311737760236,15.345999999999998,11.91286348901569,6.600660066006601,16.286644951140065,3.347306734463119,9.685984885133465,9.0,5494.0,2568.464911187225,1693.0716333207984,0.3081673886641424,2574.3519572894456,5076.0,3762.8,6646.4,3684.0,9090.0,2591.818181818182,844.9310696126012,2374.0,1849.0,3398.0,1527.0,4443.0,1.533922756579333,0.47995929197918696,1.500403478698436,1.094342347069648,1.7708460045385848,1.00779325306423,2.652234518884338,14559.136363636364,8604.370286479976,14492.0,5580.6,23580.2,784.0,29294.0,1.9611042188200145,-1.536679304880642,6.821210263296961e-17,0.5709036634461644,1.1685749375105496,0.4934745395531081,-0.008500604846494153,-0.3485116807065015,0.2842286461783597,-0.8219300551184364,0.9951591841749304,335495.0708387948,325695.6244578121,9798.383379576295,0.0,1.0630014064040922,33.2397306617631,97.07941627847924,2.9205837215207437,0.09375,0.1875,908.0894779700951,816.3681576041535,1.1123528882301361,0.11778303565638337
2ea4_Math,62.92813914812285,52.35602094240838,82.1917808219178,6.712865827036995,29.835759879509425,61.0,963.5081967213115,53.41338783488649,95.0503961152515,0.09865032434461397,42.62295081967213,70.49180327868852,53.44717017766235,974.0,906.0,1042.0,730.0,1146.0,2.44,6.753035706449079,-1.7414808187713477,-7.928388282484097e-05,0.7441940471149945,29.470592504595906,4.563277616654272,-0.007340404714697195,-0.1111646653322425,0.06201622467163421,-0.977061926617479,0.24368211134057985,1092.8958742449697,659.2397494581687,429.3132764782645,0.0,0.0,4.342848308536609,1.535568046872515,60.561105775352964,39.438894224647036,0.14285714285714285,0.17857142857142855,18.88448437209764,64.55628358262268,0.2925274399962668,0.012196029400296737,0.013869847864150502,2.0773509065318274,-2.263139600428172,-3.6108413102798904e-05,0.9918153289836444,-0.22501093243409898,-0.19877592345315773,-0.08116983802018214,-0.9179066576974773,-0.0008897623263066028,1.0640498428494998,-0.8940252309189926,-0.008349077161979744,0.39292023373917123,1.2627929098171347,-2.1185605685703757,0.015692948152370066,0.8391219902312087,11.0,-250.44174942425167,0.8659792064576173,1.50978043823798,1.1732,9.52577127103379,11.732,11.191428029348323,5.997600959616154,18.248175182481752,3.612857685023132,12.250574222865598,8.0,5930.25,1632.1098402412274,1904.8003668363779,0.32120068577823496,1893.2209892893418,5686.0,4568.8,6683.6,3288.0,10004.0,2425.818181818182,672.179605081561,2431.0,1865.0,2846.0,1554.0,3940.0,1.8883041921100394,0.20975413593358502,1.8993433457644202,1.7176551728899585,2.0766895070061677,1.5576637558607977,2.2170601165991384,13481.761904761905,8185.322182359406,12346.0,5241.0,21294.0,1577.0,28261.0,1.462954657907126,-1.2959950692928979,8.337034766251842e-17,0.6095505267762383,-0.4439890450018815,0.4208921770660987,-0.11963936650146455,-0.40254478980208125,0.3898800610569959,-0.9013779516079093,1.1379950387023146,21315.43163820661,18386.737264777814,2927.9818621773657,0.0,0.7125112514295691,6.279662282847849,86.26309901276362,13.73690098723637,0.14173228346456695,0.18897637795275593,577.0379678379322,882.0417871539388,0.6542070639304353,0.1335313926245223
2ea4_Reading,74.00635498537683,55.248618784530386,88.75739644970415,7.950035153515267,33.50877766517376,72.0,821.0,46.51131603536284,96.48891703771532,0.11752608652584083,29.166666666666668,59.72222222222222,46.57146560342185,805.0,744.8000000000001,862.0,676.0,1086.0,2.6666666666666665,6.265781278973279,-1.678960991420257,1.425590308268377e-05,0.7250016231354416,24.63545186884892,4.183307406171461,-0.008445291307544924,-0.1322324183783836,0.06586905385660902,-0.9410226102660023,0.29103041860845336,476.198537551163,242.3936489933326,223.91021998749045,0.0,0.0,9.89466857033992,1.082548393757439,51.981908175696724,48.018091824303276,0.1415929203539823,0.17699115044247787,16.444233485257833,65.1894786096996,0.25225287632245424,0.00898569849671027,0.011516442061559067,1.0641035750542336,-2.576450284158629,1.1294563317369467e-05,0.9960324493755397,0.050384463486258024,-0.8414564630270381,0.20967776982480096,-0.4130114916623472,-0.003225939993942776,0.8013633364113858,-0.7847688789772532,-0.01326137246552923,0.3189363564296211,1.1748501761716097,-2.2409193520738233,0.027777477043772918,0.840741940129612,8.0,-397.829018370977,0.6954287958878106,1.1909012980278835,1.3613333333333333,5.563430367102485,8.168,11.788666474685096,7.297494526879105,15.965939329430547,3.1013389529290647,8.668444802551441,10.0,5496.4,1693.5852247761986,1572.2665931705096,0.2860538885762517,1700.7956308086455,4888.0,4035.6,6872.8,3758.0,8222.0,2500.3636363636365,595.0499249837281,2375.0,2079.0,3138.0,1579.0,3459.0,1.9694208730534981,0.528088394832933,1.9865244228216095,1.4352985221322179,2.09375174140164,1.3260970561984204,3.0101383930019807,15755.217391304348,8696.049482662513,17417.0,6702.4,23983.200000000004,594.0,29264.0,2.1316789005796095,-1.888089266863872,-1.5158245029548805e-17,0.7372313321437923,0.1366496627950351,0.40631453357059927,-0.10049409107414774,-0.5227285596963978,0.439087699480202,-1.065377168968727,1.2086313151288657,154178.24141008215,140344.064516081,13833.448603563413,0.0,0.7282904377229293,10.145269523026183,91.02758351483564,8.972416485164354,0.08633093525179857,0.17266187050359713,598.7727984782966,985.4290912222758,0.607626468319105,0.10536051565782678
2ea4_Relax,59.14381017414488,46.43962848297214,79.36507936507937,6.374327714509407,32.92545088210723,58.0,1025.848275862069,78.33855257435157,106.59885041978855,0.10391288159080687,134.48275862068965,196.55172413793102,78.33989334233797,1024.0,933.5999999999999,1112.4,756.0,1292.0,1.45,7.585190058279322,-1.9935796125190957,-2.049838661157608e-06,0.742838656969698,34.97445090957441,4.86924798210141,-0.0009014422111216953,-0.09030835543335813,0.05431157097155055,-0.8991689766884167,0.23000007638995368,2386.0611417524133,245.5154415338501,1987.44826524871,0.0,117.7760388416047,35.32139612824868,0.12353299747559779,10.995048454576503,89.0049515454235,0.140625,0.296875,27.69686087683143,69.9692225590436,0.39584348466155106,0.0014934238045678505,0.009066245237753194,2.564170208524557,-1.1320189227988142,3.1060242988848285e-05,0.9986668161510283,-0.5874871468917315,0.7868986628530971,-0.3559200128202886,-2.2651301642422004,-0.021013116795726743,1.060984920163187,-0.3706949073368968,-0.0023360534511007295,0.20224358805438983,2.307170070939149,-1.0482932066460942,0.0030866964697358404,0.9767925450781125,4.8,-175.31084378159747,0.6031025411087138,1.4316798275000837,1.4254999999999998,2.894892197321826,6.8424,9.347904491930018,7.596859964547987,13.286093888396811,1.3351870039636458,5.689233923848825,8.8,6530.545454545455,1133.8943389408407,797.4885993640928,0.12211669069832702,1139.890220278126,6592.0,6102.799999999999,7065.2,4516.0,7898.0,3209.1304347826085,468.20882598035035,3296.0,2931.6000000000004,3570.2,2025.0,3948.0,2.3830584085933877,0.4839121723680609,2.2006591550328785,2.0411455185191656,2.666065947040521,1.855094657117844,3.9515784971176906,36283.34042553192,22320.73910188288,36409.0,13365.400000000001,59323.600000000006,23.0,73833.0,2.740366485597938,-2.7782544884128475,1.1747639897900323e-17,0.892687453606186,-0.1329201359539911,-0.1010765612558828,-0.006371950145621292,-0.6555533365623265,0.6765708546669783,-1.5301286093740358,1.3180386239239137,26585.44569329876,25587.29271642719,998.1171130469331,0.0,0.035863824635123796,25.635561580862337,96.24562073916061,3.7543792608393898,0.09375,0.1640625,400.89218810705296,345.5727409307285,1.1600804711255088,0.0447647554266315
2ea4_Speaking,65.24843516478177,55.248618784530386,75.75757575757575,4.647740143287078,20.508956973045365,64.0,924.3125,58.66101463875282,66.93954245249962,0.07242089926567002,28.125,59.375,58.73210635981241,911.0,865.5999999999999,980.8000000000001,792.0,1086.0,4.923076923076923,6.659134110324935,-1.7010918285439078,1.3758716720771898e-05,0.7429987637296444,27.800590008115,4.418726446947286,-0.009004300681954434,-0.12345706277723474,0.0678769247601642,-0.9684170750640724,0.2599381596619314,760.0331189150297,47.87801404672132,696.7455597336483,0.0,0.0,15.40954513466011,0.06871664035436999,6.429827866401014,93.57017213359899,0.10619469026548672,0.3185840707964602,20.739800621172723,41.95232089552422,0.49436598925770986,0.010810709392792273,0.013495481474884621,1.164603141144068,-2.4787993098917727,-1.5737138646090897e-05,0.9968905183974061,0.11110693126246085,-0.6959480611418386,-0.1274300353758822,-0.46982550644445514,-0.0039059745126970025,0.9768209060629238,-0.6052327740697694,-0.011649269241298372,0.27854831093218674,1.2876194976791315,-2.3352189688020486,0.006477857792280353,0.8696114926366968,9.0,-349.4361019998891,0.5159123432222024,1.3958730911685548,1.6635000000000002,4.643211088999821,13.308000000000002,10.36678358445956,8.382229673093043,14.084507042253522,1.6088080150993356,5.702277369160479,9.0,5910.222222222223,980.3170086762751,800.1685624885932,0.13538722105574783,981.7084597781563,5988.0,5514.4,6443.6,4260.0,7158.0,2961.777777777778,707.4592689928875,2828.0,2325.8,3397.8,2141.0,4358.0,2.3250433320117105,0.38435810031090933,2.2415801749882323,1.9178162528394322,2.7023003452846583,1.819657910591133,3.0150603575535904,15167.6,8473.129211808351,15754.0,6712.4,22949.8,1279.0,28892.0,2.003866245096533,-1.4040887447014991,1.1368683772161604e-17,0.8022738587477543,-0.7410428063696357,0.4543277147815228,-0.11105401463046588,-0.677106861818799,0.6290387967768398,-1.0671800525929345,1.4840396796063078,61821.2074006406,61484.31053314222,336.85568626123927,0.0,0.041181237140206405,182.52418777772905,99.45511269543876,0.5448873045612529,0.08823529411764706,0.17647058823529413,346.5944022737528,480.8015361742306,0.7208679178349288,0.11778303565638337
2ea4_Stroop,60.53401390350887,53.380782918149464,70.4225352112676,4.150953643643257,17.041752293118137,59.0,995.6949152542373,51.20242636937992,66.09475843657671,0.06638053225339642,28.8135593220339,62.71186440677966,51.21287553623264,1004.0,945.2,1047.6,852.0,1124.0,2.95,6.806756708711494,-1.8674409905534721,-2.252351677951078e-05,0.7468961385675025,30.24540353043634,4.634377607809546,-0.0052887562295815815,-0.10815563183804089,0.06152374072719348,-0.9747964630494762,0.24810046621953433,538.9340359363378,105.98863858201605,427.5269321850677,0.0,0.0,5.418465169254031,0.24791102174619428,19.866081589638814,80.13391841036119,0.10714285714285714,0.2857142857142857,18.102791449496717,43.429853784720336,0.4168282845075042,0.0164806176349388,0.00888894741724604,2.066992084342765,-2.1761265945274726,-9.318495509717953e-05,0.9919509691052077,-0.526428450370426,0.020867970137206315,-0.13443227845767575,-0.9498491905483996,-0.012871029702320434,0.82103650431603,-0.7849835882885711,-0.005665633123084164,0.32572277428405516,1.4437394541643773,-1.9883555779593713,-0.004522243824602477,0.8870114863288211,15.0,-169.88345020801063,0.7006444473300796,1.302337662463334,0.9694999999999999,10.509666709951194,11.633999999999999,9.970942992382351,8.125677139761647,13.837638376383763,1.9616608538043898,5.711961236622116,8.0,6236.25,1924.2211676522054,1124.4596202176403,0.1803102217226122,1932.3840198055873,6389.0,5366.4,7327.6,4336.0,7384.0,2570.909090909091,779.3115206905334,2478.0,1694.0,3592.0,1594.0,3830.0,2.039399184249076,0.41769857819525297,2.057979014189843,1.6770754120010734,2.313783474049483,1.3681779688004603,2.746705130856403,15188.857142857143,8484.911320835887,15604.0,6643.0,23086.0,634.0,28914.0,1.9386275309147858,-1.4433060650148162,-2.6526928801710407e-17,0.708826712059172,-0.25878108831476565,0.4801066994627767,-0.09538807686631015,-0.5140728112119819,0.4730438117873732,-1.0628776142814356,1.2937190710669226,95170.34824593978,93849.58224414723,1320.2358422764935,0.0,0.5301595160543537,71.08546764063125,98.61275783770272,1.3872421622972813,0.09448818897637797,0.18897637795275593,680.3149180747854,307.6038732804625,2.2116591407628277,0.1335313926245223
