,max_eda,min_eda,mean_eda,sd_eda,ku_eda,sk_eda,median_eda,dynrange,scl_slope,max_scr,min_scr,mean_scr,sd_scr,max_scl,min_scl,mean_scl,sd_scl,nSCR,aucSCR,meanAmpSCR,maxAmpSCR,meanRespSCR,sumAmpSCR,sumRespSCR
2ea4_Baseline,1.8570381593474794,-1.5506393678668,0.0001073381197510874,0.9947376021404511,-1.2208272124432344,0.367673531378987,-0.32380694492312584,-1.19759513258211,-0.023885876528914215,0.8022754908029355,-0.6734062295557574,-0.010098759628731316,0.3015667151919695,1.4326109104625262,-1.1327427767080338,0.022667868372909832,0.8915394920897693,10.0,-302.9789335234454,0.6668993871672939,1.475681720358693,1.16,6.6689938716729396,11.6
2ea4_Breathing,2.792215834903117,-1.0200815142597264,-3.898045358760606e-07,0.997299991461477,-0.48405261790231346,0.8615507202132855,-0.34935930912741203,-2.7372477550771315,-0.015164300571360307,1.3220875502351956,-0.7294659855937073,0.0013326105770914243,0.276154583585165,1.9427894502485588,-0.9682295504547345,-0.006435154162016008,0.951185460540644,7.333333333333333,120.03833205832572,0.6516990485882671,1.7485239506136143,1.1260952380952378,4.7791263563139585,7.8826666666666645
2ea4_Counting1,0.8016496712992401,-2.7008882533846075,-4.4336557628988277e-05,0.9969355194662743,0.1385088357045201,-1.0868295102650547,0.5620288340855144,-0.29680964041909397,0.009207920422107952,0.839966698184646,-0.7671140688268784,-0.006696876672360198,0.2654741622900668,0.9151029401357239,-2.4841730760024605,-0.013029262828998116,0.8592374324712169,8.0,-200.8084440447176,0.6448804048672694,1.6070807670115244,1.6254285714285714,5.159043238938155,11.378
2ea4_Counting2,1.3601116769067618,-1.7731419472065644,-1.0932850558432013e-05,0.9980423703993422,-1.418990788669059,0.20380325593411908,-0.19294519166548602,-0.7670630538347497,-0.033535924164140384,0.8286772150195253,-0.4961949485126803,-0.0026108995554724353,0.23105123589355822,1.4791368568415784,-1.4259343056908143,-0.0035941368839336064,0.9261542830414045,7.0,-78.15672626574829,0.4461417097469732,1.3225074481603052,1.3389999999999997,3.1229919682288125,8.033999999999999
2ea4_Counting3,2.1477954334252707,-2.3866360428135365,-0.0002395079713052534,0.9906442702217737,-0.8167951830044622,-0.10826252467621719,0.08363687952519268,-0.8999258348974302,-0.00999093662407269,1.4542911429813339,-0.8932875775575397,0.00396824437648168,0.39735943344369423,0.9650597436194233,-1.9874496549378167,0.00983813777528958,0.8452696968044842,14.0,119.24770532844079,0.8097932105969412,1.8155432262268336,1.1804615384615382,10.527311737760236,15.345999999999998
2ea4_Math,2.0773509065318274,-2.263139600428172,-3.6108413102798904e-05,0.9918153289836444,-0.22501093243409898,-0.19877592345315773,-0.08116983802018214,-0.9179066576974773,-0.0008897623263066028,1.0640498428494998,-0.8940252309189926,-0.008349077161979744,0.39292023373917123,1.2627929098171347,-2.1185605685703757,0.015692948152370066,0.8391219902312087,11.0,-250.44174942425167,0.8659792064576173,1.50978043823798,1.1732,9.52577127103379,11.732
2ea4_Reading,1.0641035750542336,-2.576450284158629,1.1294563317369467e-05,0.9960324493755397,0.050384463486258024,-0.8414564630270381,0.20967776982480096,-0.4130114916623472,-0.003225939993942776,0.8013633364113858,-0.7847688789772532,-0.01326137246552923,0.3189363564296211,1.1748501761716097,-2.2409193520738233,0.027777477043772918,0.840741940129612,8.0,-397.829018370977,0.6954287958878106,1.1909012980278835,1.3613333333333333,5.563430367102485,8.168
2ea4_Relax,2.564170208524557,-1.1320189227988142,3.1060242988848285e-05,0.9986668161510283,-0.5874871468917315,0.7868986628530971,-0.3559200128202886,-2.2651301642422004,-0.021013116795726743,1.060984920163187,-0.3706949073368968,-0.0023360534511007295,0.20224358805438983,2.307170070939149,-1.0482932066460942,0.0030866964697358404,0.9767925450781125,4.8,-175.31084378159747,0.6031025411087138,1.4316798275000837,1.4254999999999998,2.894892197321826,6.8424
2ea4_Speaking,1.164603141144068,-2.4787993098917727,-1.5737138646090897e-05,0.9968905183974061,0.11110693126246085,-0.6959480611418386,-0.1274300353758822,-0.46982550644445514,-0.0039059745126970025,0.9768209060629238,-0.6052327740697694,-0.011649269241298372,0.27854831093218674,1.2876194976791315,-2.3352189688020486,0.006477857792280353,0.8696114926366968,9.0,-349.4361019998891,0.5159123432222024,1.3958730911685548,1.6635000000000002,4.643211088999821,13.308000000000002
2ea4_Stroop,2.066992084342765,-2.1761265945274726,-9.318495509717953e-05,0.9919509691052077,-0.526428450370426,0.020867970137206315,-0.13443227845767575,-0.9498491905483996,-0.012871029702320434,0.82103650431603,-0.7849835882885711,-0.005665633123084164,0.32572277428405516,1.4437394541643773,-1.9883555779593713,-0.004522243824602477,0.8870114863288211,15.0,-169.88345020801063,0.7006444473300796,1.302337662463334,0.9694999999999999,10.509666709951194,11.633999999999999
2ea4_Video1,3.2911955557232173,-0.9749381479482537,9.025642948104519e-06,0.9959728158883572,-0.19604281205341323,0.9933586014449856,-0.5632511074222035,-3.37579933932168,0.013314268431649949,1.5742239500971846,-0.8695968811755835,-0.0026719295431577293,0.3234611449954639,1.8886284077808786,-0.8959088218544584,0.003364817111225326,0.9288892537100117,5.202312138728324,-231.2959340966878,0.7893859922825233,2.0343148298139178,1.4834666666666665,4.106632329793474,7.717456647398843
2ea4_Video2,4.2228030073717076,-2.0558305378604094,0.00020583657359493214,0.9977457860073085,0.7205916981714164,0.12133957232468646,0.13121065777101223,-2.0540618157012878,-0.026653393140909087,1.6941157580232327,-0.7273599211460895,-0.01600019102882902,0.26910626878587524,3.087012836284906,-1.8014189054946919,0.02094160293887186,0.9726089668477548,2.586206896551724,-928.5787329460338,0.9238350859894335,2.300722913071705,3.2289999999999996,2.389228670662328,6.680689655172413
2hpu_Baseline,2.460228650821511,-1.5160885002549285,1.597878847951506e-05,0.9801855961828999,-0.7305205084631226,0.3515114236344463,-0.03074990288988999,-1.6227473860581534,0.031445948470973734,1.7197059305039686,-1.2320913186821092,0.00041548600629612905,0.7269254924573976,1.1658928624689109,-1.1875240436389038,0.0064076423684111435,0.6187084811392797,8.0,12.567050903375161,1.751594472091037,2.850616901296753,1.3025,14.012755776728296,10.42
2hpu_Breathing,2.9018251904900914,-1.1091671321442413,3.0610222627638e-05,0.9970835994508335,-0.34356054569999683,0.9617049872556018,-0.4028696372367917,-2.616219960359161,-0.01644404261399164,1.0296445976999242,-0.5810087745493617,-0.0017048466293667127,0.25909539457804504,2.095474722953371,-1.0296962001369074,-0.00042818753808350165,0.96018195496504,7.0,-153.55255822002403,0.6075743353636107,1.610653372249286,1.616857142857143,4.253020347545275,11.318
2hpu_Counting1,1.5585822400912945,-2.5702814327494323,-3.340625339636366e-05,0.9944056622890058,-0.38777204542413335,-0.44334902781245117,-0.007582718217929748,-0.606385830062227,-0.0041664944231289795,0.5887970329753849,-0.47533624784862155,-0.0032271716943386053,0.23616184340893495,1.3436466997155398,-2.3321242449452617,0.0012923442079180252,0.9193989410065833,17.0,-96.70498687031093,0.41466136715085655,0.8251572311034514,0.8457333333333333,7.049243241564561,12.686
2hpu_Counting2,1.9576498737623262,-1.3716690631313186,7.063587404142406e-07,0.9969982111649748,-1.4333993211697786,0.24593378186901493,-0.14978449607101957,-1.4272027607689128,-0.03182771802195161,0.4792921200000322,-0.4795394663442632,-0.002105310860775156,0.20560366775182956,1.4801004999788883,-1.1734081665537732,0.003770626994764431,0.9415271018298346,12.0,-63.0602615121021,0.3101813836319549,0.9588315863442953,0.8092727272727274,3.722176603583459,8.902000000000001
2hpu_Counting3,1.8015310038888637,-5.6061315873910145,-0.00031466841460952915,0.9726940829403286,5.438840501012718,-1.6638526470523185,0.22168895028470978,-0.32135011028652316,0.0252815012021265,1.9277548492369307,-1.836192486471688,0.05196736859296778,0.6475119379215335,0.5558207627534837,-3.769938579613937,-0.036095500261186186,0.8339210865929865,11.0,1559.940701865509,1.4311355373094745,2.4773049868093953,1.6058,14.311355373094745,16.058
