,meanRR,minRR,maxRR,sdRR,modeRR,nBB,meanBB,SDSDb,CVNNb,SDNNb,RMSSDb,medianBB,q20BB,q80BB,minBB,maxBB,meanTT,SDTT,medianTT,q20TT,q80TT,minTT,maxTT,meanBA,SDBA,medianBA,q20BA,q80BA,minBA,maxBA,meanBW,SDBW,medianBW,q20BW,q80BW,minBW,maxBW,max_rsp,min_rsp,mean_rsp,sd_rsp,ku_rsp,sk_rsp,median_rsp,q1_rsp,q3_rsp,q05_rsp,q95_rsp,totalpower_rsp,LF_rsp,HF_rsp,VLF_rsp,VHF_rsp,LF/HF_rsp,rLF_rsp,rHF_rsp,peakLF_rsp,peakHF_rsp,SD1_rrv,SD2_rrv,SD1SD2_rrv,apEn_rrv
2ea4_Baseline,12.375599144060121,8.39630562552477,19.342359767891683,3.391862317647311,10.946054142366913,10.0,5192.6,2310.027502374895,1285.8155544245062,0.24762461087403345,2331.0319126467957,5458.0,3929.2,6227.2,3102.0,7146.0,2605.4,471.9710160592491,2604.5,2231.8,3063.2,1781.0,3223.0,2.0076845374783434,0.5253353612690032,2.0640885593514624,1.4377152420943633,2.2682055360477795,1.156776904948287,2.8681199619761584,14607.5,8163.392469656005,14295.5,6591.4,22540.8,1073.0,28136.0,1.9670326714176982,-1.7422367553723443,-1.8947806286936004e-17,0.7203900978256182,-0.10035478492775596,0.4693671197859138,-0.050845753527889975,-0.5334604646775016,0.4185414821167569,-1.0054302252378369,1.3332353445047853,137199.6147648982,69459.1163412222,67738.09486991029,0.0,2.403553765730892,1.0254069954966565,50.62720716263811,49.3727928373619,0.13138686131386862,0.17518248175182483,816.7180558283558,333.26549309655337,2.4506529261093855,0.10536051565782678
2ea4_Breathing,11.569522362834988,6.207324643078833,19.14486279514997,3.719330534062082,12.937538152071136,10.0,5748.333333333333,3167.2157895086216,1838.5817057963152,0.31984604913823983,3168.855596757834,5364.0,3847.6000000000004,7513.6,3134.0,9666.0,3109.0,1303.7431296647926,2583.0,2347.0,3417.0000000000005,1620.0,6945.0,1.533044964216771,0.4928450449666144,1.4085423909482286,1.197281109101525,1.8394777391488168,0.9657655446202116,3.3630963218323995,47125.542372881355,24821.23101559551,49655.0,20419.800000000003,71396.40000000001,2349.0,88574.0,2.589583116663115,-1.8508102213044184,1.8316212744038138e-17,0.5908520390425573,1.3215950252997493,0.3117247344125811,-0.0018361034012525103,-0.3697578473311636,0.3377944229236325,-0.9746289714592127,0.9794219243460707,757608.0709594134,553957.469609188,203640.6055773636,0.0,9.995772861795102,2.7202701938476515,73.12023192149492,26.87976807850508,0.1171875,0.1640625,1119.7798811213256,647.5744150812139,1.7291910474580612,0.013790643148760218
2ea4_Counting1,12.805508940733443,7.425742574257426,19.392372333548803,3.695796144775715,11.966629759291376,10.0,5088.6,1584.3173082856015,1455.7052036727764,0.28607184759516885,1678.385335175845,5057.0,3510.8,6031.6,3094.0,8080.0,2594.909090909091,796.4044717633296,2746.0,1837.0,3265.0,1536.0,3879.0,1.652941102364017,0.4615380771866321,1.6265704633843783,1.4196387782072484,1.9503765243906166,0.9262892613274544,2.6035106640704284,14020.869565217392,8582.92049365355,14520.0,5372.200000000001,22148.0,431.0,28975.0,1.857901512067799,-1.5784052559820172,3.031649005909761e-17,0.6235671646549537,0.14691526972449642,0.3931293868527726,-0.060914143021545616,-0.39325422899978013,0.37023345333976243,-0.8920609626624871,1.1370585785416765,69643.1559140791,45473.11207238807,24169.120062958707,0.0,0.9237787323302853,1.8814550117643543,65.2953110176207,34.7046889823793,0.08695652173913043,0.17391304347826086,560.1407561199834,681.5637883066149,0.8218464151560719,0.10536051565782678
2ea4_Counting2,11.315735837716238,8.417508417508417,17.006802721088434,2.4029793656708027,8.589294303580017,10.0,5517.6,1523.4828843034081,1041.519966203241,0.1887632242647602,1523.6291470622955,5513.0,4816.0,6399.6,3528.0,7128.0,2740.6,809.7312146632363,2583.5,2034.3999999999999,3362.2000000000003,1713.0,4432.0,2.077120346151102,0.5207229401369872,2.040094793336287,1.791889700394957,2.4490451049190454,1.2783662847630226,2.9540698664823557,14719.272727272728,8688.885126631705,13849.5,6803.0,23130.0,870.0,29371.0,2.025824763570869,-1.562412102590288,1.8947806286936004e-17,0.7672578042120519,-0.3946231054830438,0.4637767257309978,-0.0978966300475691,-0.5700066615225744,0.5195771831689152,-1.1207473746060281,1.410145291589384,59146.5391623706,55641.99973905576,3504.247398456433,0.0,0.2920248584032715,15.878445044595082,94.07528360961055,5.924716390389445,0.08219178082191782,0.16438356164383564,538.6325392562901,525.7769324685606,1.0244506862014113,0.10536051565782678
2ea4_Counting3,11.91286348901569,6.600660066006601,16.286644951140065,3.347306734463119,9.685984885133465,9.0,5494.0,2568.464911187225,1693.0716333207984,0.3081673886641424,2574.3519572894456,5076.0,3762.8,6646.4,3684.0,9090.0,2591.818181818182,844.9310696126012,2374.0,1849.0,3398.0,1527.0,4443.0,1.533922756579333,0.47995929197918696,1.500403478698436,1.094342347069648,1.7708460045385848,1.00779325306423,2.652234518884338,14559.136363636364,8604.370286479976,14492.0,5580.6,23580.2,784.0,29294.0,1.9611042188200145,-1.536679304880642,6.821210263296961e-17,0.5709036634461644,1.1685749375105496,0.4934745395531081,-0.008500604846494153,-0.3485116807065015,0.2842286461783597,-0.8219300551184364,0.9951591841749304,335495.0708387948,325695.6244578121,9798.383379576295,0.0,1.0630014064040922,33.2397306617631,97.07941627847924,2.9205837215207437,0.09375,0.1875,908.0894779700951,816.3681576041535,1.1123528882301361,0.11778303565638337
2ea4_Math,11.191428029348323,5.997600959616154,18.248175182481752,3.612857685023132,12.250574222865598,8.0,5930.25,1632.1098402412274,1904.8003668363779,0.32120068577823496,1893.2209892893418,5686.0,4568.8,6683.6,3288.0,10004.0,2425.818181818182,672.179605081561,2431.0,1865.0,2846.0,1554.0,3940.0,1.8883041921100394,0.20975413593358502,1.8993433457644202,1.7176551728899585,2.0766895070061677,1.5576637558607977,2.2170601165991384,13481.761904761905,8185.322182359406,12346.0,5241.0,21294.0,1577.0,28261.0,1.462954657907126,-1.2959950692928979,8.337034766251842e-17,0.6095505267762383,-0.4439890450018815,0.4208921770660987,-0.11963936650146455,-0.40254478980208125,0.3898800610569959,-0.9013779516079093,1.1379950387023146,21315.43163820661,18386.737264777814,2927.9818621773657,0.0,0.7125112514295691,6.279662282847849,86.26309901276362,13.73690098723637,0.14173228346456695,0.18897637795275593,577.0379678379322,882.0417871539388,0.6542070639304353,0.1335313926245223
2ea4_Reading,11.788666474685096,7.297494526879105,15.965939329430547,3.1013389529290647,8.668444802551441,10.0,5496.4,1693.5852247761986,1572.2665931705096,0.2860538885762517,1700.7956308086455,4888.0,4035.6,6872.8,3758.0,8222.0,2500.3636363636365,595.0499249837281,2375.0,2079.0,3138.0,1579.0,3459.0,1.9694208730534981,0.528088394832933,1.9865244228216095,1.4352985221322179,2.09375174140164,1.3260970561984204,3.0101383930019807,15755.217391304348,8696.049482662513,17417.0,6702.4,23983.200000000004,594.0,29264.0,2.1316789005796095,-1.888089266863872,-1.5158245029548805e-17,0.7372313321437923,0.1366496627950351,0.40631453357059927,-0.10049409107414774,-0.5227285596963978,0.439087699480202,-1.065377168968727,1.2086313151288657,154178.24141008215,140344.064516081,13833.448603563413,0.0,0.7282904377229293,10.145269523026183,91.02758351483564,8.972416485164354,0.08633093525179857,0.17266187050359713,598.7727984782966,985.4290912222758,0.607626468319105,0.10536051565782678
2ea4_Relax,9.347904491930018,7.596859964547987,13.286093888396811,1.3351870039636458,5.689233923848825,8.8,6530.545454545455,1133.8943389408407,797.4885993640928,0.12211669069832702,1139.890220278126,6592.0,6102.799999999999,7065.2,4516.0,7898.0,3209.1304347826085,468.20882598035035,3296.0,2931.6000000000004,3570.2,2025.0,3948.0,2.3830584085933877,0.4839121723680609,2.2006591550328785,2.0411455185191656,2.666065947040521,1.855094657117844,3.9515784971176906,36283.34042553192,22320.73910188288,36409.0,13365.400000000001,59323.600000000006,23.0,73833.0,2.740366485597938,-2.7782544884128475,1.1747639897900323e-17,0.892687453606186,-0.1329201359539911,-0.1010765612558828,-0.006371950145621292,-0.6555533365623265,0.6765708546669783,-1.5301286093740358,1.3180386239239137,26585.44569329876,25587.29271642719,998.1171130469331,0.0,0.035863824635123796,25.635561580862337,96.24562073916061,3.7543792608393898,0.09375,0.1640625,400.89218810705296,345.5727409307285,1.1600804711255088,0.0447647554266315
2ea4_Speaking,10.36678358445956,8.382229673093043,14.084507042253522,1.6088080150993356,5.702277369160479,9.0,5910.222222222223,980.3170086762751,800.1685624885932,0.13538722105574783,981.7084597781563,5988.0,5514.4,6443.6,4260.0,7158.0,2961.777777777778,707.4592689928875,2828.0,2325.8,3397.8,2141.0,4358.0,2.3250433320117105,0.38435810031090933,2.2415801749882323,1.9178162528394322,2.7023003452846583,1.819657910591133,3.0150603575535904,15167.6,8473.129211808351,15754.0,6712.4,22949.8,1279.0,28892.0,2.003866245096533,-1.4040887447014991,1.1368683772161604e-17,0.8022738587477543,-0.7410428063696357,0.4543277147815228,-0.11105401463046588,-0.677106861818799,0.6290387967768398,-1.0671800525929345,1.4840396796063078,61821.2074006406,61484.31053314222,336.85568626123927,0.0,0.041181237140206405,182.52418777772905,99.45511269543876,0.5448873045612529,0.08823529411764706,0.17647058823529413,346.5944022737528,480.8015361742306,0.7208679178349288,0.11778303565638337
2ea4_Stroop,9.970942992382351,8.125677139761647,13.837638376383763,1.9616608538043898,5.711961236622116,8.0,6236.25,1924.2211676522054,1124.4596202176403,0.1803102217226122,1932.3840198055873,6389.0,5366.4,7327.6,4336.0,7384.0,2570.909090909091,779.3115206905334,2478.0,1694.0,3592.0,1594.0,3830.0,2.039399184249076,0.41769857819525297,2.057979014189843,1.6770754120010734,2.313783474049483,1.3681779688004603,2.746705130856403,15188.857142857143,8484.911320835887,15604.0,6643.0,23086.0,634.0,28914.0,1.9386275309147858,-1.4433060650148162,-2.6526928801710407e-17,0.708826712059172,-0.25878108831476565,0.4801066994627767,-0.09538807686631015,-0.5140728112119819,0.4730438117873732,-1.0628776142814356,1.2937190710669226,95170.34824593978,93849.58224414723,1320.2358422764935,0.0,0.5301595160543537,71.08546764063125,98.61275783770272,1.3872421622972813,0.09448818897637797,0.18897637795275593,680.3149180747854,307.6038732804625,2.2116591407628277,0.1335313926245223
